occasion,section,date,time,tag_id,tag_id2,duplicate,ghost_tag
1,20,01/12/2022,14:28:25.000,900.226001697292,ID900.226001697292,Yes,No
1,20,01/12/2022,14:28:43.000,900.226001697455,ID900.226001697455,No,No
1,21,01/12/2022,14:29:09.000,989.002009085551,ID989.002009085551,Yes,Yes
1,21,01/12/2022,14:29:40.000,900.226001697475,ID900.226001697475,No,No
1,21,01/12/2022,14:30:41.000,900.226001698192,ID900.226001698192,No,Yes
1,21,01/12/2022,14:30:52.000,900.226001698192,ID900.226001698192,Yes,Yes
1,22,01/12/2022,14:31:02.000,989.002009085551,ID989.002009085551,Yes,Yes
1,22,01/12/2022,14:31:10.000,900.226001697554,ID900.226001697554,No,Yes
1,22,01/12/2022,14:31:12.000,900.226001698398,ID900.226001698398,No,Yes
1,22,01/12/2022,14:31:21.000,900.226001697554,ID900.226001697554,Yes,Yes
1,22,01/12/2022,14:31:26.000,900.226001167756,ID900.226001167756,No,Yes
1,22,01/12/2022,14:31:32.000,900.226001697554,ID900.226001697554,Yes,Yes
1,22,01/12/2022,14:31:43.000,900.226001697554,ID900.226001697554,Yes,Yes
1,22,01/12/2022,14:31:51.000,900.226001167756,ID900.226001167756,Yes,Yes
1,22,01/12/2022,14:31:54.000,900.226001697554,ID900.226001697554,Yes,Yes
1,22,01/12/2022,14:32:01.000,900.226001167756,ID900.226001167756,Yes,Yes
1,22,01/12/2022,14:32:04.000,900.226001698398,ID900.226001698398,Yes,Yes
1,22,01/12/2022,14:32:20.000,900.226001698398,ID900.226001698398,Yes,Yes
1,22,01/12/2022,14:32:39.000,900.226001698398,ID900.226001698398,Yes,Yes
1,22,01/12/2022,14:32:48.000,900.226001698129,ID900.226001698129,No,Yes
1,22,01/12/2022,14:32:58.000,900.226001698129,ID900.226001698129,Yes,Yes
1,22,01/12/2022,14:33:12.000,900.226001698129,ID900.226001698129,Yes,Yes
1,22,01/12/2022,14:33:25.000,900.226001698555,ID900.226001698555,No,Yes
1,22,01/12/2022,14:33:35.000,900.226001698555,ID900.226001698555,Yes,Yes
1,22,01/12/2022,14:33:57.000,900.226001698184,ID900.226001698184,No,Yes
1,22,01/12/2022,14:34:01.000,900.226001697446,ID900.226001697446,No,Yes
1,22,01/12/2022,14:34:12.000,900.226001698184,ID900.226001698184,Yes,Yes
1,22,01/12/2022,14:34:13.000,900.226001697446,ID900.226001697446,Yes,Yes
1,22,01/12/2022,14:34:23.000,900.226001698184,ID900.226001698184,Yes,Yes
1,22,01/12/2022,14:34:27.000,900.226001697446,ID900.226001697446,Yes,Yes
1,22,01/12/2022,14:34:34.000,900.226001698325,ID900.226001698325,No,Yes
1,22,01/12/2022,14:34:45.000,900.226001698325,ID900.226001698325,Yes,Yes
1,22,01/12/2022,14:35:03.000,900.226001698177,ID900.226001698177,No,Yes
1,22,01/12/2022,14:35:13.000,900.226001698177,ID900.226001698177,Yes,Yes
1,23,01/12/2022,14:35:37.000,989.002009085551,ID989.002009085551,Yes,Yes
1,23,01/12/2022,14:35:51.000,900.226001698547,ID900.226001698547,No,Yes
1,23,01/12/2022,14:36:50.000,900.226001697322,ID900.226001697322,No,Yes
1,23,01/12/2022,14:37:00.000,900.226001697322,ID900.226001697322,Yes,Yes
1,23,01/12/2022,14:38:02.000,900.226001697449,ID900.226001697449,No,Yes
1,23,01/12/2022,14:38:15.000,900.226001697449,ID900.226001697449,Yes,Yes
1,24,01/12/2022,14:38:19.000,989.002009085551,ID989.002009085551,Yes,Yes
1,24,01/12/2022,14:38:20.000,900.226001698333,ID900.226001698333,No,No
1,24,01/12/2022,14:38:25.000,900.226001697449,ID900.226001697449,Yes,Yes
1,24,01/12/2022,14:39:15.000,900.226001697465,ID900.226001697465,No,No
1,24,01/12/2022,14:39:33.000,900.226001697469,ID900.226001697469,No,No
1,24,01/12/2022,14:39:39.000,900.226001697477,ID900.226001697477,No,No
1,24,01/12/2022,14:39:45.000,900.226001697469,ID900.226001697469,Yes,No
1,24,01/12/2022,14:39:58.000,900.226001698392,ID900.226001698392,No,Yes
